Player,Year,Age,Pos,Tm,G,MP,perf,PTS
Sebastian Telfair,2010,24,PG,TOT,43,659,0,208
Serge Ibaka,2010,20,PF-C,OKC,73,1323,1,461
Sergio Rodriguez,2010,23,PG,TOT,66,1048,0,434
Shane Battier,2010,31,SG-SF,HOU,67,2168,0,534
Shannon Brown,2010,24,SG-SF,LAL,82,1700,0,667
Shaquille O'Neal*,2010,37,PF-C,CLE,53,1240,1,636
Shaun Livingston,2010,24,PG,TOT,36,796,0,250
Shawn Marion,2010,31,SG-SF,DAL,75,2385,0,898
Shelden Williams,2010,26,PF-C,BOS,54,597,0,201
Solomon Jones,2010,25,PF-C,IND,52,675,0,207
Sonny Weems,2010,23,SG-SF,TOR,69,1368,0,518
Spencer Hawes,2010,21,PF-C,SAC,72,1904,0,723
Stephen Curry,2010,21,PG,GSW,80,2896,1,1399
Stephen Graham,2010,27,SG-SF,CHA,70,804,0,296
Stephen Jackson,2010,31,SG-SF,TOT,81,3129,1,1667
Steve Blake,2010,29,PG,TOT,80,2159,0,586
Steve Nash,2010,35,PG,PHO,81,2660,1,1333
Steve Novak,2010,26,SG-SF,LAC,54,362,0,113
Steven Hunter,2010,28,PF-C,MEM,21,158,0,53
Sundiata Gaines,2010,23,PG,UTA,32,217,1,106
T.J. Ford,2010,26,PG,IND,47,1189,0,484
Taj Gibson,2010,24,PF-C,CHI,82,2204,0,735
Tayshaun Prince,2010,29,SG-SF,DET,49,1664,1,661
Terrence Williams,2010,22,SG-SF,NJN,78,1764,0,656
Thabo Sefolosha,2010,25,SG-SF,OKC,82,2348,0,489
Thaddeus Young,2010,21,PF-C,PHI,67,2145,0,926
Theo Ratliff,2010,36,PF-C,TOT,49,807,0,178
Tim Duncan,2010,33,PF-C,SAS,78,2438,1,1395
Tim Thomas,2010,32,SG-SF,DAL,18,285,1,135
Toney Douglas,2010,23,PG,NYK,56,1087,0,481
Tony Allen,2010,28,SG-SF,BOS,54,889,0,330
Tony Parker,2010,27,PG,SAS,56,1728,1,894
Tracy McGrady,2010,30,SG-SF,TOT,30,673,0,245
Travis Outlaw,2010,25,SG-SF,TOT,34,730,0,309
Trenton Hassell,2010,30,SG-SF,NJN,52,1106,0,232
Trevor Ariza,2010,24,SG-SF,HOU,72,2629,0,1072
Troy Murphy,2010,29,PF-C,IND,72,2344,1,1050
Ty Lawson,2010,22,PG,DEN,65,1318,1,542
Tyler Hansbrough,2010,24,PF-C,IND,29,511,0,246
Tyreke Evans,2010,20,SG-SF,SAC,72,2677,1,1450
Tyrus Thomas,2010,23,PF-C,TOT,54,1220,1,508
Tyson Chandler,2010,27,PF-C,CHA,51,1163,0,333
Udonis Haslem,2010,29,PF-C,MIA,78,2177,0,771
Vince Carter,2010,33,SG-SF,ORL,75,2310,1,1244
Vladimir Radmanovic,2010,29,PF-C,TOT,41,891,0,256
Wayne Ellington,2010,22,SG-SF,MIN,76,1384,0,505
Wesley Matthews,2010,23,SG-SF,UTA,82,2025,0,769
Will Bynum,2010,27,PG,DET,63,1667,0,628
Willie Green,2010,28,SG-SF,PHI,73,1553,0,638
Wilson Chandler,2010,22,SG-SF,NYK,65,2320,0,993
Yi Jianlian,2010,22,PF-C,NJN,52,1655,0,623
Zach Randolph,2010,28,PF-C,MEM,81,3051,1,1681
Zaza Pachulia,2010,25,PF-C,ATL,78,1089,0,333
Zydrunas Ilgauskas,2010,34,PF-C,CLE,64,1339,0,474
